record_type,year,category,subtype,citation,doi,mnicsw_points,impact_factor,start_date,end_date,city,country,award
journal_article,2025,A,Journal article,"Sołtysiuk, M., Przyborowska, P., Wiszniewska-Łaszczych, A., Tobolski, D. Virulence, cytotoxicity potential and biofilm production ability of Listeria spp. isolated from raw fish in Poland. BMC Veterinary Research (in press).",,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Zwierzchowski, G., Wójcik, R., Tobolski, D. The applicability of the Migratest® kit for evaluating the chemotactic activity of peripheral blood granulocytes in lambs supplemented with a multi-strain probiotic formulation (Lactobacillus, Bifidobacterium). BMC Veterinary Research (in press).",10.1186/s12917-025-05202-z,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Pytel, A.T., Tobolski, D., Skup, P., Strączyńska, P., Domrazek, K., Gajewski, Z., Gorodkiewicz, E., Papis, K. Correlation between intrafollicular IL-10, progesterone, and bovine oocyte developmental competence. International Journal of Molecular Sciences (in press).",10.3390/ijms262311364,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Tobolska, A., Bajon, J., Adamiak, Z., Tobolski, D. Mathematical models predict the physiological dimensions of selected canine carpal joint structures across imaging modalities in healthy dogs. Scientific Reports (in press).",10.1038/s41598-025-27069-8,140.0,3.9,,,,,
journal_article,2025,A,Journal article,"Pytel, A.T., Tobolski, D., Skup, P., Gargaś, J., Flis, S., Gajewski, Z., Gorodkiewicz, E., Papis, K. A novel surface plasmon resonance imaging (SPRi) biosensor for the determination of bovine interleukin-10: development, validation, and application in biological fluids. International Journal of Molecular Sciences (in press).",10.3390/ijms262110395,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Wójcik, R., Król-Grzymała, A., Tobolski, D., Paritova, A., García-Calvo, E., Miciński, J., Zwierzchowski, G. Serum metabolomics uncovers immune and lipid pathway alterations in lambs supplemented with novel LAB–Bifidobacterium cocktail. International Journal of Molecular Sciences (in press).",10.3390/ijms26199808,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Wójtowicz, A., Sadowska, A., Molcan, T., Słyszewska, M., Drzewiecka, E., Tobolski, D., Ferreira-Dias, G., Szóstek-Mioduchowska, A. Th1 and Th2 cells in equine endometrosis and their interactions with endometrial fibroblasts. Scientific Reports (in press).",10.1038/s41598-025-20152-0,140.0,3.9,,,,,
journal_article,2025,A,Journal article,"Żarczyńska, K., Różańska, K., Brym, P., Tobolski, D. Preparturient oral selenitetriglyceride supplementation elevates erythrocyte glutathione peroxidase activity, and modulates hepatic TNF-α, PPAR-α and PPAR-δ mRNA in postparturient Holstein-Friesian cows. International Journal of Molecular Sciences, 26(1), 1–20.",10.3390/ijms26168018,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Tobolski, D., Pascottini, O.B., Opsomer, G., Tobolska, A., Barański, W. Blood total calcium concentrations in the fourth week postpartum of dairy cows continue to play a key role in uterine involution. Theriogenology, 226, 1–10.",10.1016/j.theriogenology.2025.117486,140.0,2.5,,,,,
journal_article,2025,A,Journal article,"Sołtysiuk, M., Przyborowska, P., Wiszniewska-Łaszczych, A., Tobolski, D. Prevalence and antimicrobial resistance profile of Listeria spp. isolated from raw fish. BMC Veterinary Research, 21, 333.",10.1186/s12917-025-04792-y,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Tobolski, D., Krupa, M., Polak, Z., Pascottini, O.B., Opsomer, G., Barański, W. Exploring the influence of endometritis diagnostic criteria on uterine involution, milk yield and fertility in dairy cows. BMC Veterinary Research, 21, 276.",10.1186/s12917-025-04727-7,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Przyborowska, P., Tobolski, D. Serotyping and antimicrobial resistance of Actinobacillus pleuropneumoniae isolates from fattening pigs in Poland from 2019 to 2024. BMC Veterinary Research, 21, 40.",10.1186/s12917-025-04504-6,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Daszkiewicz, T., Miciński, J., Wójcik, R., Tobolski, D., Zwierzchowski, G., Kobzhassarov, T., Charkiewicz, K. The effect of probiotic supplementation in Kamieniec lambs on meat quality. Small Ruminant Research, 244, 107444.",10.1016/j.smallrumres.2025.107444,100.0,1.4,,,,,
journal_article,2025,A,Journal article,"Jaworska, J., Tobolski, D., Kahler, A., Wocławek-Potocka, I., de Mestre, A.M. Single-cell atlas of the pregnant equine endometrium before and after implantation. Biology of Reproduction, 112(1), 1–18.",10.1093/biolre/ioaf004,200.0,3.0,,,,,
journal_article,2025,A,Journal article,"Grzybowska, D., Żarczyńska, K., Sobiech, P., Brym, P., Tobolski, D. Persistently high concentrations of β-hydroxybutyrate affect hepatic SOD2 expression and blood SOD activity in high-yielding dairy cows. BMC Veterinary Research, 21, 12.",10.1186/s12917-024-04464-3,140.0,2.6,,,,,
journal_article,2024,A,Journal article,"Przyborowska, P., Lewko-Wojtowicz, R., Cybulski, P., Maes, D., Tobolski, D. Impact of porcine respiratory disease complex on carcass weight and meatiness: quantitative insights from a mixed-model analysis. BMC Veterinary Research, 20, 554.",10.1186/s12917-024-04410-3,140.0,2.6,,,,,
journal_article,2024,A,Journal article,"Tobolski, D., Zwierzchowski, G., Wójcik, R., Haxhiaj, K., Wishart, D.S., Ametaj, B.N. Metabolic fingerprinting of blood and urine of dairy cows affected by bovine leukemia virus: a mass spectrometry approach. Metabolites, 14(11), 624.",10.3390/metabo14110624,100.0,3.7,,,,,
journal_article,2024,A,Journal article,"Barański, W., Zduńczyk, S., Tobolski, D., Krupa, M. Fertility outcomes in cows with subclinical endometritis after clinical cure of clinical endometritis. Irish Veterinary Journal, 77, 20.",10.1186/s13620-024-00281-0,100.0,3.1,,,,,
journal_article,2024,A,Journal article,"Barański, W., Nowicki, A., Crowe, M., Tobolski, D., Zduńczyk, S. Effect of repeated low doses of gonadotropin-releasing hormone on the secretion of luteinizing hormone and follicle-stimulating hormone, and ovarian function in dairy cows suffering from anovulation type I. Animal Reproduction Science, 262, 107455.",10.1016/j.anireprosci.2024.107602,140.0,3.3,,,,,
journal_article,2024,A,Journal article,"Zwierzchowski, G., Zhang, G., Tobolski, D., Wójcik, R., Wishart, D., Ametaj, B. Metabolomic fingerprinting of milk fever cows: pre- and postpartum metabolite alterations. Journal of Veterinary Internal Medicine, 38(6), 3384–3397.",10.1111/jvim.17217,200.0,2.2,,,,,
journal_article,2024,A,Journal article,"Polak, Z., Krupa, M., Sadowska, J., Brym, P., Ślebioda, M., Jurczak, A., Grzybowska, D., Tobolski, D. Connections between endometrial health status, fatty liver and expression of endocannabinoid system genes in endometrium of postpartum dairy cows. International Journal of Molecular Sciences, 25(17), 9187.",10.3390/ijms25179187,140.0,4.9,,,,,
journal_article,2024,A,Journal article,"Wójcik, R., Małaczewska, J., Tobolski, D., Miciński, J., Kaczorek-Łukowska, E., Zwierzchowski, G. The effect of orally administered multi-strain probiotic formulation (Lactobacillus, Bifidobacterium) on the phagocytic activity and oxidative metabolism of peripheral blood granulocytes and monocytes in lambs. International Journal of Molecular Sciences, 25(10), 5068.",10.3390/ijms25105068,140.0,4.9,,,,,
journal_article,2024,A,Journal article,"Wrześniewska, K., Madany, J., Tobolski, D., Żylińska, B., Milczak, A., Sobczyńska-Rak, A. A pilot study of the role of selected biomarkers of kidney injury in dogs with dilated cardiomyopathy (DCM). Animals, 14(4), 610.",,100.0,2.7,,,,,
journal_article,2024,A,Journal article,"Żarczyńska, K., Brym, P., Tobolski, D. The role of selenitetriglycerides in enhancing antioxidant defense mechanisms in peripartum Holstein-Friesian cows. Animals, 14(4), 610.",10.3390/ani14040610,100.0,2.7,,,,,
journal_article,2024,A,Journal article,"Świerczyński, G., Tobolski, D., Żarczyńska, K. Effect of selenitetriglyceride supplementation in pregnant sows on hematological and biochemical profiles, Se concentration and transfer to offspring. Journal of Elementology, 29(1), 21–35.",10.5601/jelem.2023.28.4.3180,70.0,0.7,,,,,
journal_article,2024,A,Journal article,"Tobolski, D., Zwierzchowski, G., Łukasik, K., Skarżyński, D.J., Pascottini, O.B., Opsomer, G., Barański, W. Progesterone-independent endometrial mRNA expression in dairy cows with clinical or subclinical endometritis. Theriogenology, 216, 146–154.",10.1016/j.theriogenology.2023.12.031,140.0,2.5,,,,,
journal_article,2023,A,Journal article,"Grzybowska, D., Sobiech, P.H., Tobolski, D. Ultrasonographic image of fatty infiltration of the liver correlates with selected biochemical parameters and back fat thickness of periparturient Holstein-Friesian cows. Polish Journal of Veterinary Sciences, 26(4), 723–732.",10.24425/pjvs.2023.148294,100.0,0.8,,,,,
journal_article,2022,A,Journal article,"Zhang, G., Tobolski, D., Zwierzchowski, G., Mandal, R., Wishart, D.S., Ametaj, B.N. Identification of serum-predictive biomarkers for subclinical mastitis in dairy cows and new insights into the pathobiology of the disease. Journal of Agricultural and Food Chemistry, 70(5), 1724–1746.",10.1021/acs.jafc.1c07281,140.0,6.1,,,,,
journal_article,2022,A,Journal article,"Barański, W., Baryczka, A., Zduńczyk, S., Tobolski, D., Janowski, T. Prevalence of subclinical endometritis in dairy cows that recovered after treatment of clinical endometritis with cephapirin and PGF2α. Theriogenology, 192, 166–171.",10.1016/j.theriogenology.2022.08.032,140.0,2.8,,,,,
journal_article,2022,A,Journal article,"Barański, W., Nowicki, A., Zduńczyk, S., Tobolski, D. Effect of repeated low doses of GnRH on follicular development and ovulation in anovulatory dairy cows with follicle growth to emergence size. Polish Journal of Veterinary Sciences, 25(3), 391–396.",10.24425/pjvs.2022.142022,100.0,0.8,,,,,
journal_article,2021,A,Journal article,"Zhang, G., Tobolski, D., Zwierzchowski, G., Mandal, R., Wishart, D.S., Ametaj, B.N. A targeted serum metabolomics GC–MS approach identifies blood predictive biomarkers for retained placenta in Holstein dairy cows. Metabolites, 11(9), 633.",10.3390/metabo11090633,100.0,5.581,,,,,
journal_article,2021,A,Journal article,"Tobolski, D., Łukasik, K., Bacławska, A., Skarżyński, D.J., Hostens, M., Barański, W. Prediction of calving to conception interval length using algorithmic analysis of endometrial mRNA expression in bovine. Animals, 11(1), 236.",10.3390/ani11010236,100.0,3.231,,,,,
journal_article,2021,A,Journal article,"Cebulska, K., Sobiech, P., Tobolski, D., Wysocka, D., Janiszewski, P., Zalewski, D., Gugołek, A., Illek, J. Comparison of the content of selected heavy metals in liver tissue of wild boar (Sus scrofa), red fox (Vulpes vulpes) and red deer (Cervus elaphus), living in north-eastern Poland. Polish Journal of Veterinary Sciences, 24(3), 445–450.",10.24425/pjvs.2021.138732,100.0,0.859,,,,,
journal_article,2021,A,Journal article,"Żarczyńska, K., Sobiech, P., Tobolski, D., Mee, J.F., Illek, J. Effect of a single, oral administration of selenitetriglycerides, at two dose rates, on blood selenium status and haematological and biochemical parameters in Holstein-Friesian calves. Irish Veterinary Journal, 74(1), 11.",10.1186/s13620-021-00192-4,100.0,2.359,,,,,
journal_article,2020,A,Journal article,"Jaworska, J., Jaworski, Z., Tobolski, D., Siemieniuch, M., Janowski, T., Gorecka-Bruzda, A. Selection of reproductive partners in semi-feral horses (Equus caballus) is not influenced by major histocompatibility complex (MHC): a field study. Applied Animal Behaviour Science, 226, 104973.",10.1016/j.applanim.2020.104973,100.0,2.448,,,,,
journal_article,2020,A,Journal article,"Jaworska, J., Tobolski, D., Janowski, T. Is similarity in Major Histocompatibility Complex (MHC) associated with the incidence of retained fetal membranes in draft mares? A cross-sectional study. PLOS One, 15(8), e0237765.",10.1371/journal.pone.0237765,100.0,3.24,,,,,
journal_article,2020,A,Journal article,"Bukowska, B., Jurczak, A., Tobolski, D., Janowski, T. Prevalence of subclinical uterine pathologies diagnosed by biopsy and cytological and bacteriological findings in cyclic bitches. Polish Journal of Veterinary Sciences, 23(4), 595–603.",10.24425/pjvs.2020.135803,100.0,0.821,,,,,
journal_article,2019,A,Journal article,"Rudowska, M., Barański, W., Zduńczyk, S., Tobolski, D., Janowski, T. Effect of progesterone-releasing intravaginal device on reproductive performance of cows with cystic ovarian follicles after puerperium. Polish Journal of Veterinary Sciences, 22(3), 489–494.",10.24425/pjvs.2019.129961,100.0,0.516,,,,,
journal_article,2019,A,Journal article,"Długołęcka, E., Tobolski, D., Janowski, T. Endometrial histopathology, bacteriology and cytology outcomes in mares with early embryonic death (EED): a field study. Polish Journal of Veterinary Sciences, 22(2), 377–384.",10.24425/pjvs.2019.129225,100.0,0.516,,,,,
journal_article,2019,A,Journal article,"Nowicki, A., Barański, W., Tobolski, D., Zduńczyk, S., Janowski, T. Second prostaglandin F2α treatment during Ovsynch protocol does not improve fertility outcomes in dairy cows. Polish Journal of Veterinary Sciences, 22(1), 157–161.",10.24425/pjvs.2018.125609,100.0,0.516,,,,,
journal_article,2018,A,Journal article,"Żarczyńska, K., Sobiech, P., Snarska, A., Wysocka, D., Cebulska, K., Sultanuly, Z., Tobolski, D., Shekhar-Pareek, C., Bednarek, D. Applicability of the protein–lipid profile and activity of lactate dehydrogenase isoenzymes for diagnosing nutritional muscular dystrophy in calves. Journal of Veterinary Research, 62(4), 503–510.",10.2478/jvetres-2018-0072,20.0,0.829,,,,,
journal_article,2018,A,Journal article,"Socha, P., Zduńczyk, S., Tobolski, D., Janowski, T. The effects of osaterone acetate on clinical signs and prostate volume in dogs with benign prostatic hyperplasia. Polish Journal of Veterinary Sciences, 21(4), 797–802.",10.24425/pjvs.2018.125597,20.0,0.802,,,,,
other_publication,2025,B,Professional article,"Pytel, A., Tobolski, D. ""Superowulacja i przenoszenie zarodków"". Lecznica Dużych Zwierząt, 2025(3), 53–59.",,5.0,,,,,,
other_publication,2025,B,Professional article,"Przyborowska, P., Tobolski, D., Lewko-Wojtowicz, R. ""Wybrane aspekty zespołu chorobowego układu oddechowego u świń – wpływ na wskaźniki produkcyjne i ekonomiczne w tuczu"". Hodowca Trzody Chlewnej, 2025(7–8), 66–71.",,5.0,,,,,,
other_publication,2025,B,Case report,"Dziekiewicz-Mrugasiewicz, M., Perzyna, M., Tobolski, D. ""Ropień pępka u cielęcia – opis przypadku i postępowanie chirurgiczne"". Lecznica Dużych Zwierząt, 2025(2), 50–54.",,5.0,,,,,,
other_publication,2025,B,Professional article,"Wasyk-Dolińska, P., Tobolski, D. ""Doppler w diagnostyce ciąży u bydła: nowe możliwości i praktyczne zastosowania"". Lecznica Dużych Zwierząt, 2025(2), 61–68.",,5.0,,,,,,
other_publication,2025,B,Professional article,"Zdrojkowski, Ł., Tobolski, D. ""Metody oraz zastosowanie badania cytologicznego w rozrodzie koni"". Weterynaria w Terenie, 03.2025, 23–27.",,5.0,,,,,,
other_publication,2025,B,Professional article,"Pawliński, B., Tobolski, D. ""Hormonalne sterowanie cyklem rujowym u jałówek"". Weterynaria w Terenie, 03.2025, 21–25.",,5.0,,,,,,
other_publication,2025,B,Case report,"Perzyna, M., Dziekiewicz-Mrugasiewicz, M., Tobolski, D. ""Wypadnięcie prostnicy u cieląt: przyczyny, diagnostyka, leczenie – opis przypadku klinicznego"". Lecznica Dużych Zwierząt, 2025(4), 60–61.",,5.0,,,,,,
other_publication,2024,B,Professional article,"Pytel, A., Tobolski, D. ""Jak poprawić skuteczność embriotransferu?"". Lecznica Dużych Zwierząt, 2024, 74(2), 31–37.",,5.0,,,,,,
other_publication,2024,B,Professional article,"Krupa, M., Tobolski, D. ""Diagnostyka endometritis"". Lecznica Dużych Zwierząt, 2024, 76(4), 25–30.",,5.0,,,,,,
other_publication,2024,B,Professional article,"Pytel, A., Tobolski, D. ""Klasyfikacja dawczyń zarodków u bydła"". Lecznica Dużych Zwierząt, 2024, 74(2), 31–37.",,5.0,,,,,,
other_publication,2024,B,Professional article,"Polak, Z., Tobolski, D. ""Zakaźne przyczyny zapaleń poporodowych"". Lecznica Dużych Zwierząt, 2024, 74(2), 31–37.",,5.0,,,,,,
other_publication,2022,B,Professional article,"Krupa, M., Polak, Z., Nowicki, A., Tobolski, D. ""Program synchronizacji owulacji cz. II. Ovsynch i jego modyfikacje"". Lecznica Dużych Zwierząt, 2022, 65(2), 59–64.",,5.0,,,,,,
other_publication,2022,B,Professional article,"Polak, Z., Kupa, M., Nowicki, A., Tobolski, D. ""Program synchronizacji owulacji cz. I. Ovsynch i jego modyfikacje"". Lecznica Dużych Zwierząt, 2022, 64(1), 32–35.",,5.0,,,,,,
other_publication,2021,B,Professional article,"Tobolski, D., Kupa, M., Polak, Z. ""Rola hormonów w cyklu rujowym u krów mlecznych"". Lecznica Dużych Zwierząt, 2021(3), 65–71.",,5.0,,,,,,
other_publication,2021,B,Professional article,"Kupa, M., Polak, Z., Tobolski, D. ""Substancje hormonalne stosowane w rozrodzie bydła"". Lecznica Dużych Zwierząt, 2021(4), 61–65.",,5.0,,,,,,
other_publication,2021,B,Professional article,"Tobolska, A., Tobolski, D., Politańska, M., Kurzawa, A. ""Diagnostyka ultrasonograficzna pourazowych uszkodzeń stawu nadgarstkowego i skokowego u małych zwierząt"". Magazyn Weterynaryjny, 2021, 30(283), 26–35.",,20.0,,,,,,
other_publication,2018,B,Professional article,"Barański, W., Tobolski, D. ""Czy tabulogramy mogą się przydać lekarzowi weterynarii?"". Lecznica Dużych Zwierząt, 2018, 27(1), 46–49.",,1.0,,,,,,
other_publication,2018,B,Professional article,"Socha, P., Socha, B.M., Tobolski, D. ""Zastosowanie octanu ozateronu w leczeniu łagodnego rozrostu gruczołu krokowego u psów"". Magazyn Weterynaryjny, 2018, 27(252), 13–16.",,3.0,,,,,,
other_publication,2017,B,Case report,"Nowicki, A., Barański, W., Tobolski, D., Janowski, T. ""Chirurgiczne postępowanie przy zapaleniu pępka - opis dwóch przypadków"". Weterynaria w Terenie, 2017(4), 59–53.",,3.0,,,,,,
book_chapter,2018,Book chapter,Book chapter,"Żarczyńska, K., Tobolski, D., Snarska, A., Wysocka, D., Cebulska, K., Sultanuly, Z., Sobiech, P. Znaczenie mikroelementów w okresie przejściowym u bydła. In: [Monograph chapter], 2018, pp. 73–92, Polskie Towarzystwo Nauk Weterynaryjnych.",,,,,,,,
conference_contribution,2025,Conference,Oral presentation,"Wasyk-Dolińska, P., Surmacz, P., Siewruk, K., Pawliński, B., Trela, M., Domańska, D., Zdrojkowski, Ł., Tobolski, D., Perzyna, M., Petrajtis-Gołobów, M., Giziński, S., Siemieniuch-Tartanus, M. Assisted reproductive technologies as climate change adaptation strategies in equine reproduction – preliminary study.",,,,23.10.2025,24.10.2025,Kamieniec Podolski,Ukraine,
conference_contribution,2025,Conference,Oral presentation,"Xie, L., Rashid, M., Tobolski, D., Krupa, M., Polak, Z., Barański, W., Karis, P., Qiao, K., Xu, L., Pascottini, O., Opsomer, G. Transcriptomic landscape of circulating neutrophils in postpartum dairy cows prior to clinical manifestation of endometritis.",,,,11.09.2025,13.09.2025,Albena,Bulgaria,Young Scientist Competition (YSC4)
conference_contribution,2025,Conference,Oral presentation,"Krupa, M., Yáñez Ramil, U., Tobolski, D., Polak, Z., Xie, L., Rashid, M.H., Barański, W., Opsomer, G., Bogado Pascottini, O. Endometrial thickness as a marker for subclinical endometritis in dairy cows.",,,,11.09.2025,13.09.2025,Albena,Bulgaria,
conference_contribution,2025,Conference,Poster,"Pytel, A.T., Bajno, O., Tobolski, D. Effect of cumulative heat–humidity index on pregnancy outcomes in dairy cattle: a preliminary summer study.",,,,03.09.2025,05.09.2025,Cork,Ireland,
conference_contribution,2024,Conference,Poster,"Pytel, A.T., Skup, P., Tobolski, D., Papis, K. Do follicle size and coasting time duration significantly influence in vitro embryo production in cattle?",,,,20.05.2024,24.05.2024,Cancún,Mexico,
conference_contribution,2024,Conference,Oral presentation,"De Mestre, A., Salem, S.E., Jaworska, J., Tobolski, D., Lawson, J.M., Miller, D. Dispelling misconceptions regarding pregnancy pathophysiology using insights from the horse.",,,,07.07.2024,10.07.2024,Dublin,Ireland,Abstract ID: 1817954
conference_contribution,2024,Conference,Poster,"Jaworska, J., Tobolski, D., Kahler, A., Wocławek-Potocka, I., de Mestre, A. Genetic regulation of placentation in mares – preliminary results.",,,,12.05.2024,15.05.2024,Caen,France,
conference_contribution,2025,Conference,Oral presentation,"Słyszewska, M., Wójtowicz, A., Sadowska, A., Tobolski, D., Szóstek-Mioduchowska, A. Macrophage subpopulations in mare endometrium and their connection with equine endometrial fibrosis.",,,,15.05.2025,16.05.2025,Kraków,Poland,
conference_contribution,2024,Conference,Poster,"Słyszewska, M., Tobolski, D., Skarżyński, D., Szóstek-Mioduchowska, A. Targeting profibrotic genes unsettled by differentially stimulated macrophages to unravel the basis of equine endometrial fibrosis.",,,,22.10.2024,27.10.2024,Heraklion,Greece,Aegean Conference Trainee Award
conference_contribution,2024,Conference,Poster,"Żebrowska, E., Słyszewska, M., Tobolski, D., Ferreira-Dias, G., Szóstek-Mioduchowska, A. Potencjalna rola różnych subpopulacji makrofagów w rozwoju endometrosis – badania in vitro.",,,,19.09.2024,21.09.2024,Olsztyn,Poland,Poster award: 2nd place
conference_contribution,2024,Conference,Poster,"Słyszewska, M., Wójtowicz, A., Żebrowska, E., Tobolski, D., Szóstek-Mioduchowska, A. Characterization of macrophage subpopulations: a new perspective for study the development of endometrosis in mare.",,,,19.09.2024,21.09.2024,Olsztyn,Poland,Poster award: 1st place
conference_contribution,2024,Conference,Oral presentation,"Wójtowicz, A., Sadowska, A., Molcan, T., Słyszewska, M., Drzewiecka, E., Tobolski, D., Ferreira-Dias, G., Szóstek-Mioduchowska, A. Do Th1 and Th2 cells play a role in the development of endometrosis in mares?",,,,19.09.2024,21.09.2024,Olsztyn,Poland,Oral presentation award: 1st place
conference_contribution,2024,Conference,Poster,"Słyszewska, M., Żebrowska, E., Tobolski, D., Ferreira-Dias, G., Szóstek-Mioduchowska, A. Changes in equine endometrial fibroblasts induced by long-term exposure to the secretome of macrophages.",,,,09.09.2024,12.09.2024,Wrocław,Poland,Best poster presentation
conference_contribution,2024,Conference,Poster,"Wójtowicz, A., Sadowska, A., Molcan, T., Tobolski, D., Ferreira-Dias, G., Szóstek-Mioduchowska, A. The effect of Th1 and Th2 cells on properties and transcriptomic profile of mare endometrial stromal cells – an in vitro study.",,,,01.09.2024,04.09.2024,Dublin,Ireland,
conference_contribution,2023,Conference,Conference contribution (type not specified),"Abako, J., Tobolska, A., Tobolski, D., Michalska, K., Bajon, J., Jałyńska, M. Anatomia ultrasonograficzna odcinka lędźwiowego kręgosłupa psów oraz wybrane zmiany chorobowe w jego obrębie zobrazowane z wykorzystaniem ultrasonografii.",,,,17.11.2023,19.11.2023,Łódź,Poland,
conference_contribution,2023,Conference,Conference contribution (type not specified),"Jaworska, J., Tobolski, D., Kahler, A., Wocławek-Potocka, I., de Mestre, A. Komórki immunologiczne obecne w endometrium podczas tworzenia się łożyska u klaczy – wyniki wstępne.",,,,,,Walewice,Poland,
conference_contribution,2023,Conference,Conference contribution (type not specified),"Krupa, M., Polak, Z., Miętkiewska, K., Tobolski, D. Nowa półautomatyczna metoda pobierania cytologii u klaczy.",,,,,,Walewice,Poland,
conference_contribution,2023,Conference,Conference contribution (type not specified),"Jaworska, J., Tobolski, D., Kahler, A., Wocławek-Potocka, I., de Mestre, A. Endometrial immune cells at the time of implantation in mares – preliminary results. The International Symposium on Equine Reproduction (ISER).",,,,,,,,
conference_contribution,2023,Conference,Conference contribution (type not specified),"Krupa, M., Polak, Z., Miętkiewska, K., Tobolski, D. The impact of heat stress on the insemination success of dairy cows in Poland – a case study. 1st European Symposium on Animal Reproduction (ESAR).",,,,,,,,
conference_contribution,2023,Conference,Conference contribution (type not specified),"Polak, Z., Krupa, M., Sadowska, J., Brym, P., Tobolski, D. Expression of endocannabinoid system receptors and enzymes in postparturient dairy cow endometrium. 1st European Symposium on Animal Reproduction (ESAR).",,,,,,,,
conference_contribution,2023,Conference,Conference contribution (type not specified),"Tobolski, D., Polak, Z., Krupa, M., Pascottini, O.B., Opsomer, G. A new semi-automated method of cytological sampling from the endometrium of dairy cows – validation on isolated organs. IRRS 2023, The 11th International Ruminant Reproduction Symposium.",,,,,,,,
conference_contribution,2022,Conference,Conference contribution (type not specified),"Tobolski, D., Polak, Z., Krupa, M. A new method of cytological sampling from the endometrium of dairy cows. International Conference on Uterine Disorders in Farm Animals: Endometritis as a cause of infertility in domestic animals.",,,,,,,,
conference_contribution,2022,Conference,Conference contribution (type not specified),"Wrześniewska, K., Madany, J., Tobolski, D. Biomarkers of kidney injury in chronic heart failure in dogs. Materials: XXX Jubilee International Congress of Small Animal Veterinary Medicine (PSLWMZ).",,,,,,,,
conference_contribution,2022,Conference,Conference contribution (type not specified),"Grzybowska, D., Snarska, A., Tobolski, D. Prevalence of ketosis in a selected dairy farm in Warmia and Mazury. XXI Middle European Buiatrics Congress.",,,,,,,,
conference_contribution,2022,Conference,Conference contribution (type not specified),"Barański, W., Baryczka, A., Zduńczyk, S., Kupa, M., Tobolski, D., Socha, P. Reproductive performance of cows recovered from clinical endometritis treated by different methods. XXI Middle European Buiatrics Congress.",,,,,,,,
conference_contribution,2022,Conference,Conference contribution (type not specified),"Tobolski, D., Polak, Z., Krupa, M. The impact of heat stress on the insemination success of dairy cows in Poland – a case study. 1st European Symposium on Animal Reproduction (ESAR).",,,,,,,,
conference_contribution,2019,Conference,Conference contribution (type not specified),"Tobolski, D., Barański, W. Activin, inhibin, follistatin and periostin as new markers for uterine health and future pregnancy. International Conference on Uterine Disorders in Farm Animals: Endometritis as a cause of infertility in domestic animals.",,,,,,,,
conference_contribution,2018,Conference,Conference contribution (type not specified),"Tobolski, D., Barański, W., Nowicki, A., Rudowska, M., Janowski, T. Endometritis impairs milk production and fertility in dairy cows. Reproduction in Domestic Animals, Vol. 53, p. 201. Wiley.",,,,,,,,
conference_contribution,2018,Conference,Poster,"Nowicki, A., Barański, W., Tobolski, D., Janowski, T., Crowe, M. LH and FSH response after repeated low doses of GnRH analogue (buserelin) in treatment of anovulatory anoestrus in dairy cows. Reproduction in Domestic Animals, Vol. 53, p. 174. Wiley.",,,,,,,,
conference_contribution,2018,Conference,Poster,"Barański, W., Nowicki, A., Tobolski, D., Rudowska, M., Janowski, T. Repeated low doses of buserelin in anovulatory anestrus cows develop ovarian follicles and can be used as treatment method. Reproduction in Domestic Animals, Vol. 53, pp. 108–109. Wiley.",,,,,,,,
conference_contribution,2019,Conference,Poster,"Tobolski, D., Nowicki, A., Barański, W., Janowski, T. Endometrial expression of prostaglandin-endoperoxide synthase 1 and 2 in healthy, subclinical and clinical endometritis in dairy cows fourth week postpartum. Reproduction in Domestic Animals, Vol. 54, p. 138. Wiley.",,,,,,,,
conference_contribution,2019,Conference,Poster,"Nowicki, A., Barański, W., Tobolski, D., Janowski, T. Semecarpus anacardium and Nigella sativa improve ovulation rate in dairy cows with silent heat 50–60 days after parturition. Reproduction in Domestic Animals, Vol. 54, p. 139. Wiley.",,,,,,,,
conference_contribution,2019,Conference,Poster,"Tobolski, D., Barański, W., Nowicki, A., Rudowska, M., Janowski, T. Activin, inhibin, follistatin and periostin as new markers for uterine health and future pregnancy. International Conference on Uterine Disorders in Farm Animals: Endometritis as a cause of infertility in domestic animals.",,,,,,,,
conference_contribution,2017,Conference,Poster,"Tobolski, D., Nowicki, A., Barański, W., Janowski, T. Incidence of endometritis in Holstein Friesian cows – a case study. International Conference on Uterine Disorders in Farm Animals: Endometritis as a cause of infertility in domestic animals.",,,,,,,,
conference_contribution,2017,Conference,Poster,"Tobolski, D., Nowicki, A., Barański, W., Janowski, T. Cervical cytology is sufficient for diagnosis of subclinical endometritis (SE) in dairy cows. International Conference on Uterine Disorders in Farm Animals: Endometritis as a cause of infertility in domestic animals.",,,,,,,,
conference_contribution,2017,Conference,Poster,"Tobolski, D., Nowicki, A., Barański, W., Janowski, T. Incidence of endometritis in Holstein Friesian cows – a case study. International Conference on Uterine Disorders in Farm Animals: Endometritis as a cause of infertility in domestic animals.",,,,,,,,
